Location,Date of Accident,Time of Accident,Accident Severity,Collision Type,Cause of Accident,Number of Vehicles,Vehicle Types,Driver Age Group,Number of Fatalities,Number of Injuries,Property Damage Level,location_standardized,location_name,formatted_address,latitude,longitude,conditions,precip,visibility,humidity,cloudcover,sunrise,sunset,weather_condition_label,visibility_level
Slave Island Junction,2023-05-27,08:44,Minor Injury,Multi-vehicle Collision,Reckless Driving,3,Three Wheeler; Bicycle; Motorcycle,18-25,0,2,Low,"Slave Island Junction, Colombo, Sri Lanka","Slave Island Junction, Colombo, Sri Lanka","Kompannavidiya Flyover, Colombo, Sri Lanka",6.9266493,79.8483123,"Rain, Partially cloudy",0.242,8.6,80.2,59.1,2023-05-27T05:53:25,2023-05-27T18:22:17,Light Rain,Good
Darley Road Cinnamon Gardens,2025-05-07,14:24,Minor Injury,Single Vehicle Crash,Reckless Driving,1,Lorry,18-25,0,4,Moderate,"Darley Road Cinnamon Gardens, Colombo, Sri Lanka","Darley Road Cinnamon Gardens, Colombo, Sri Lanka","Darley Rd, Colombo, Sri Lanka",6.9228616,79.8620451,"Rain, Partially cloudy",0.086,7.1,85.2,72.1,2025-05-07T05:55:22,2025-05-07T18:19:17,Light Rain,Good
Duplication Road Bambalapitiya,2023-08-16,23:39,Minor Injury,Rear-end Collision,Driver Fatigue,3,Three Wheeler; Motorcycle; Van,26-35,0,2,Moderate,"Duplication Road Bambalapitiya, Colombo, Sri Lanka","Duplication Road Bambalapitiya, Colombo, Sri Lanka","450 E R. A. De Mel Mawatha, Colombo 00200, Sri Lanka",6.9024028,79.8545389,"Rain, Partially cloudy",0.038,8.6,77.7,48.1,2023-08-16T06:04:46,2023-08-16T18:25:21,Light Rain,Good
Pettah Clock Tower Area,2023-07-30,17:06,Serious Injury,Single Vehicle Crash,Reckless Driving,1,Van,26-35,0,6,High,"Pettah Clock Tower Area, Colombo, Sri Lanka","Pettah Clock Tower Area, Colombo, Sri Lanka","Pettah, Colombo, Sri Lanka",6.9367858,79.8525385,Partially cloudy,0.0,8.1,77.9,50.1,2023-07-30T06:04:17,2023-07-30T18:30:02,Partially Cloudy,Good
Sea Street Kotahena,2022-09-09,08:08,Minor Injury,Pedestrian Collision,Reckless Driving,2,Motorcycle; Three Wheeler,46-55,0,2,High,"Sea Street Kotahena, Colombo, Sri Lanka","Sea Street Kotahena, Colombo, Sri Lanka","Sea St, Colombo 01300, Sri Lanka",6.9418464,79.8542501,Partially cloudy,0.0,7.9,80.5,30.7,2022-09-09T06:02:08,2022-09-09T18:14:02,Partially Cloudy,Good
Bauddhaloka Mawatha Havelock Town,2024-01-23,19:41,Fatal,Motorcycle Collision,Overspeeding,3,Motorcycle; Car; Three Wheeler,18-25,1,5,Moderate,"Bauddhaloka Mawatha Havelock Town, Colombo, Sri Lanka","Bauddhaloka Mawatha Havelock Town, Colombo, Sri Lanka","Bauddhaloka Mawatha, Colombo, Sri Lanka",6.897011,79.8598172,Partially cloudy,0.0,7.7,70.5,26.6,2024-01-23T06:28:42,2024-01-23T18:16:05,Partially Cloudy,Good
Kochchikade Junction,2025-04-23,00:59,Minor Injury,Side-impact Collision,Reckless Driving,2,Motorcycle; Lorry,56+,0,1,Low,"Kochchikade Junction, Colombo, Sri Lanka","Kochchikade Junction, Colombo, Sri Lanka","Colombo, Sri Lanka",6.9270786,79.861243,Partially cloudy,0.009,6.7,79.9,32.6,2025-04-23T05:59:24,2025-04-23T18:18:46,Partially Cloudy,Good
Borella Junction,2024-06-05,19:57,Minor Injury,Rear-end Collision,Distracted Driving,2,Three Wheeler; Motorcycle,46-55,0,4,Low,"Borella Junction, Colombo, Sri Lanka","Borella Junction, Colombo, Sri Lanka","18 Dr NM Perera Mawatha Rd, Colombo 00800, Sri Lanka",6.9139525,79.878481,Partially cloudy,0.005,7.5,78.3,56.1,2024-06-05T05:54:05,2024-06-05T18:24:32,Partially Cloudy,Good
Union Place Borella,2022-04-20,09:20,Minor Injury,Rear-end Collision,Driver Negligence,1,Three Wheeler,18-25,0,4,High,"Union Place Borella, Colombo, Sri Lanka","Union Place Borella, Colombo, Sri Lanka","Colombo 08, Colombo, Sri Lanka",6.9147836,79.8775951,"Rain, Partially cloudy",2.588,7.8,86.2,28.7,2022-04-20T06:00:36,2022-04-20T18:18:48,Light Rain,Good
Darley Road Cinnamon Gardens,2025-01-01,16:30,Minor Injury,Rear-end Collision,Driver Fatigue,2,Three Wheeler; Van,46-55,0,1,Moderate,"Darley Road Cinnamon Gardens, Colombo, Sri Lanka","Darley Road Cinnamon Gardens, Colombo, Sri Lanka","Darley Rd, Colombo, Sri Lanka",6.9228616,79.8620451,Partially cloudy,0.004,7.3,87.8,68.9,2025-01-01T06:22:27,2025-01-01T18:06:10,Partially Cloudy,Good
Narahenpita Junction,2023-12-22,05:59,Minor Injury,Multi-vehicle Collision,Driver Fatigue,4,Motorcycle; Car; Lorry; Bus,46-55,0,3,High,"Narahenpita Junction, Colombo, Sri Lanka","Narahenpita Junction, Colombo, Sri Lanka","Narahenpita, Colombo 00500, Sri Lanka",6.8899209,79.8826281,Partially cloudy,0.001,8.0,75.5,41.1,2023-12-22T06:17:27,2023-12-22T18:00:39,Partially Cloudy,Good
Messenger Street Pettah,2023-05-14,18:27,Fatal,Pedestrian Collision,Failure to Yield,2,Car; Three Wheeler,36-45,1,1,High,"Messenger Street Pettah, Colombo, Sri Lanka","Messenger Street Pettah, Colombo, Sri Lanka","M. J. M. Lafeer Mawatha, Colombo, Sri Lanka",6.9411356,79.8629811,"Rain, Partially cloudy",0.592,7.8,84.8,72.4,2023-05-14T05:54:12,2023-05-14T18:19:59,Light Rain,Good
Bambalapitiya Junction,2025-11-30,18:24,Serious Injury,Rear-end Collision,Reckless Driving,1,Bicycle,56+,0,3,High,"Bambalapitiya Junction, Colombo, Sri Lanka","Bambalapitiya Junction, Colombo, Sri Lanka","Bambalapitiya, Colombo 00500, Sri Lanka",6.8894192,79.8575468,Clear,0.0,5.9,84.4,20.0,2025-11-30T06:06:49,2025-11-30T17:51:56,Clear,Moderate
Kochchikade Junction,2023-01-23,10:29,Minor Injury,Single Vehicle Crash,Driver Negligence,1,Three Wheeler,26-35,0,3,High,"Kochchikade Junction, Colombo, Sri Lanka","Kochchikade Junction, Colombo, Sri Lanka","Colombo, Sri Lanka",6.9270786,79.861243,"Rain, Partially cloudy",0.085,7.9,79.6,68.3,2023-01-23T06:28:44,2023-01-23T18:16:10,Light Rain,Good
Grandpass Junction,2023-02-21,14:22,Serious Injury,Multi-vehicle Collision,Overspeeding,4,Car; Motorcycle; Bus; Van,26-35,0,3,High,"Grandpass Junction, Colombo, Sri Lanka","Grandpass Junction, Colombo, Sri Lanka","Grandpass Rd, Colombo, Sri Lanka",6.9432514,79.8685531,Partially cloudy,0.0,8.2,80.9,33.3,2023-02-21T06:26:12,2023-02-21T18:22:36,Partially Cloudy,Good
Dematagoda Junction,2023-02-26,21:30,Minor Injury,Pedestrian Collision,Reckless Driving,1,Motorcycle,26-35,0,1,Low,"Dematagoda Junction, Colombo, Sri Lanka","Dematagoda Junction, Colombo, Sri Lanka","Dematagoda Pl, Colombo, Sri Lanka",6.9293231,79.8764195,Partially cloudy,0.0,8.1,70.4,23.5,2023-02-26T06:24:36,2023-02-26T18:22:48,Partially Cloudy,Good
Kolonnawa Junction,2023-08-08,19:55,Minor Injury,Side-impact Collision,Poor Visibility,1,Three Wheeler,36-45,0,4,Low,"Kolonnawa Junction, Colombo, Sri Lanka","Kolonnawa Junction, Colombo, Sri Lanka","Kolonnawa Rd, Colombo, Sri Lanka",6.9303402,79.8806763,Partially cloudy,0.0,8.2,75.6,53.4,2023-08-08T06:04:49,2023-08-08T18:27:58,Partially Cloudy,Good
Mattakkuliya Junction,2023-12-03,18:53,Minor Injury,Motorcycle Collision,Unsafe Lane Change,2,Motorcycle; Van,26-35,0,3,Moderate,"Mattakkuliya Junction, Colombo, Sri Lanka","Mattakkuliya Junction, Colombo, Sri Lanka","Mattakkuliya Brg, Colombo, Sri Lanka",6.9805611,79.875318,"Rain, Partially cloudy",0.057,7.7,84.0,60.1,2023-12-03T06:07:57,2023-12-03T17:52:39,Light Rain,Good
Kollupitiya Railway Station Area,2024-08-18,19:17,Minor Injury,Side-impact Collision,Reckless Driving,2,Bicycle; Car,18-25,0,4,Low,"Kollupitiya Railway Station Area, Colombo, Sri Lanka","Kollupitiya Railway Station Area, Colombo, Sri Lanka","Kollupitiya Railway Station, Colombo, Sri Lanka",6.9112629,79.8481782,Partially cloudy,0.0,5.5,80.8,80.0,2024-08-18T06:04:39,2024-08-18T18:24:18,Partially Cloudy,Moderate
Maradana Junction,2025-03-20,19:00,Serious Injury,Pedestrian Collision,Overspeeding,2,Motorcycle; Bus,18-25,0,5,Moderate,"Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo 01000, Sri Lanka",6.928874,79.8637428,Rain,0.54,7.0,75.0,19.0,2025-03-20T06:14:51,2025-03-20T18:21:32,Light Rain,Good
Justice Akbar Mawatha Slave Island,2024-03-07,08:34,Minor Injury,Rear-end Collision,Driver Negligence,1,Three Wheeler,56+,0,3,Low,"Justice Akbar Mawatha Slave Island, Colombo, Sri Lanka","Justice Akbar Mawatha Slave Island, Colombo, Sri Lanka","Justice Akbar Mawatha, Colombo, Sri Lanka",6.9238481,79.8503668,Partially cloudy,0.0,6.0,77.0,29.3,2024-03-07T06:20:47,2024-03-07T18:22:36,Partially Cloudy,Moderate
D R Wijewardena Mawatha Fort,2025-12-24,08:34,Fatal,Multi-vehicle Collision,Overspeeding,3,Three Wheeler; Motorcycle; Lorry,18-25,1,5,Low,"D R Wijewardena Mawatha Fort, Colombo, Sri Lanka","D R Wijewardena Mawatha Fort, Colombo, Sri Lanka","McCallum Rd, Colombo, Sri Lanka",6.9324236,79.8505139,Partially cloudy,0.024,7.1,74.3,28.8,2025-12-24T06:18:42,2025-12-24T18:01:56,Partially Cloudy,Good
"Junction of Havelock Road and Dickman's Road, Colombo 05",2022-08-13,12:22,Minor Injury,Motorcycle Collision,Overspeeding,2,Motorcycle; Bicycle,18-25,0,2,Low,"Junction of Havelock Road and Dickman's Road, Colombo 05, Colombo, Sri Lanka","Junction of Havelock Road and Dickman's Road, Colombo 05, Colombo, Sri Lanka","Havelock Rd & Dickmans Rd, Colombo 00500, Sri Lanka",6.888114000000001,79.8643269,Partially cloudy,0.0,8.2,79.3,31.9,2022-08-13T06:04:50,2022-08-13T18:26:19,Partially Cloudy,Good
Union Place Borella,2024-08-21,22:57,Minor Injury,Side-impact Collision,Driver Negligence,1,Van,18-25,0,3,Low,"Union Place Borella, Colombo, Sri Lanka","Union Place Borella, Colombo, Sri Lanka","Colombo 08, Colombo, Sri Lanka",6.9147836,79.8775951,"Rain, Partially cloudy",0.028,5.3,89.1,78.1,2024-08-21T06:04:28,2024-08-21T18:23:04,Light Rain,Moderate
Madampitiya Road,2022-02-22,23:57,Serious Injury,Side-impact Collision,Reckless Driving,1,Motorcycle,36-45,0,4,High,"Madampitiya Road, Colombo, Sri Lanka","Madampitiya Road, Colombo, Sri Lanka","Madampitiya Rd, Colombo, Sri Lanka",6.9624445,79.8714976,Clear,0.0,7.1,84.5,11.8,2022-02-22T06:25:50,2022-02-22T18:22:40,Clear,Good
Havelock Road Havelock Town,2023-05-16,09:36,Minor Injury,Single Vehicle Crash,Driver Negligence,1,Motorcycle,18-25,0,3,Low,"Havelock Road Havelock Town, Colombo, Sri Lanka","Havelock Road Havelock Town, Colombo, Sri Lanka","Havelock Rd, Colombo 00500, Sri Lanka",6.8903417,79.8638234,"Rain, Partially cloudy",0.01,8.4,83.0,51.5,2023-05-16T05:53:57,2023-05-16T18:20:16,Light Rain,Good
Viharamahadevi Park Entrance,2024-01-09,17:40,Minor Injury,Motorcycle Collision,Driver Negligence,1,Motorcycle,26-35,0,2,Moderate,"Viharamahadevi Park Entrance, Colombo, Sri Lanka","Viharamahadevi Park Entrance, Colombo, Sri Lanka","Viharamahadevi Park, Colombo 00700, Sri Lanka",6.9142322,79.8625967,"Rain, Partially cloudy",0.206,7.9,87.3,74.7,2024-01-09T06:25:15,2024-01-09T18:09:51,Light Rain,Good
Union Place Borella,2025-05-06,17:21,Serious Injury,Side-impact Collision,Reckless Driving,4,Car; Motorcycle; Three Wheeler; Bicycle,18-25,0,3,Moderate,"Union Place Borella, Colombo, Sri Lanka","Union Place Borella, Colombo, Sri Lanka","Colombo 08, Colombo, Sri Lanka",6.9147836,79.8775951,"Rain, Partially cloudy",1.575,7.0,82.7,47.8,2025-05-06T05:55:35,2025-05-06T18:19:12,Light Rain,Good
Pettah Clock Tower Area,2022-07-23,15:50,Minor Injury,Side-impact Collision,Reckless Driving,2,Three Wheeler; Motorcycle,36-45,0,3,Low,"Pettah Clock Tower Area, Colombo, Sri Lanka","Pettah Clock Tower Area, Colombo, Sri Lanka","Pettah, Colombo, Sri Lanka",6.9367858,79.8525385,Partially cloudy,0.0,8.2,81.0,33.0,2022-07-23T06:03:27,2022-07-23T18:30:55,Partially Cloudy,Good
Maradana Junction,2024-04-20,13:00,Minor Injury,Pedestrian Collision,Pedestrian Negligence,1,Motorcycle,18-25,0,1,Moderate,"Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo 01000, Sri Lanka",6.928874,79.8637428,Partially cloudy,0.004,6.5,81.4,51.0,2024-04-20T06:00:25,2024-04-20T18:18:48,Partially Cloudy,Good
Grandpass Junction,2023-02-27,08:24,Minor Injury,Motorcycle Collision,Reckless Driving,2,Motorcycle; Car,56+,0,3,Moderate,"Grandpass Junction, Colombo, Sri Lanka","Grandpass Junction, Colombo, Sri Lanka","Grandpass Rd, Colombo, Sri Lanka",6.9432514,79.8685531,"Rain, Partially cloudy",0.053,7.9,71.5,47.3,2023-02-27T06:24:15,2023-02-27T18:22:49,Light Rain,Good
Galle Road Fort,2023-11-21,08:43,Serious Injury,Single Vehicle Crash,Driver Negligence,1,Car,18-25,0,6,High,"Galle Road Fort, Colombo, Sri Lanka","Galle Road Fort, Colombo, Sri Lanka","Galle Buck Rd, Colombo, Sri Lanka",6.9363912,79.8415204,"Rain, Partially cloudy",2.921,8.4,85.2,56.2,2023-11-21T06:02:53,2023-11-21T17:49:56,Light Rain,Good
Havelock Town Junction,2024-05-19,10:24,Serious Injury,Pedestrian Collision,Distracted Driving,2,Motorcycle; Three Wheeler,26-35,0,3,High,"Havelock Town Junction, Colombo, Sri Lanka","Havelock Town Junction, Colombo, Sri Lanka","Havelock Town, Colombo, Sri Lanka",6.886651899999999,79.8646835,"Rain, Partially cloudy",0.476,4.8,95.1,73.8,2024-05-19T05:53:37,2024-05-19T18:20:54,Light Rain,Moderate
Justice Akbar Mawatha Slave Island,2025-05-09,17:36,Minor Injury,Rear-end Collision,Overspeeding,2,Van; Three Wheeler,46-55,0,4,Low,"Justice Akbar Mawatha Slave Island, Colombo, Sri Lanka","Justice Akbar Mawatha Slave Island, Colombo, Sri Lanka","Justice Akbar Mawatha, Colombo, Sri Lanka",6.9238481,79.8503668,"Rain, Partially cloudy",0.015,6.9,82.0,74.2,2025-05-09T05:54:58,2025-05-09T18:19:29,Light Rain,Good
Narahenpita Junction,2022-07-17,22:36,Fatal,Side-impact Collision,Reckless Driving,1,Car,26-35,1,4,High,"Narahenpita Junction, Colombo, Sri Lanka","Narahenpita Junction, Colombo, Sri Lanka","Narahenpita, Colombo 00500, Sri Lanka",6.8899209,79.8826281,"Rain, Partially cloudy",0.063,8.2,81.5,28.5,2022-07-17T06:02:27,2022-07-17T18:31:14,Light Rain,Good
Bauddhaloka Mawatha Cinnamon Gardens,2025-05-21,13:53,Minor Injury,Rear-end Collision,Unsafe Lane Change,2,Three Wheeler; Motorcycle,36-45,0,2,Low,"Bauddhaloka Mawatha Cinnamon Gardens, Colombo, Sri Lanka","Bauddhaloka Mawatha Cinnamon Gardens, Colombo, Sri Lanka","Bauddhaloka Mawatha, Colombo 00700, Sri Lanka",6.901932,79.8694402,Partially cloudy,0.004,7.5,73.7,31.8,2025-05-21T05:53:32,2025-05-21T18:21:13,Partially Cloudy,Good
Duplication Road Bambalapitiya,2024-09-14,09:40,Fatal,Multi-vehicle Collision,Reckless Driving,2,Van; Bicycle,46-55,1,6,High,"Duplication Road Bambalapitiya, Colombo, Sri Lanka","Duplication Road Bambalapitiya, Colombo, Sri Lanka","450 E R. A. De Mel Mawatha, Colombo 00200, Sri Lanka",6.9024028,79.8545389,"Rain, Partially cloudy",0.041,6.5,77.3,65.3,2024-09-14T06:01:15,2024-09-14T18:11:05,Light Rain,Good
Armour Street Pettah,2023-02-24,15:47,Minor Injury,Side-impact Collision,Distracted Driving,2,Three Wheeler; Motorcycle,18-25,0,3,High,"Armour Street Pettah, Colombo, Sri Lanka","Armour Street Pettah, Colombo, Sri Lanka","Armour St, Colombo, Sri Lanka",6.9424222,79.8637618,"Rain, Partially cloudy",2.067,8.0,78.6,65.7,2023-02-24T06:25:17,2023-02-24T18:22:45,Light Rain,Good
Armour Street Junction,2022-05-08,06:31,Minor Injury,Side-impact Collision,Driver Negligence,2,Car; Motorcycle,56+,0,4,Moderate,"Armour Street Junction, Colombo, Sri Lanka","Armour Street Junction, Colombo, Sri Lanka","Armour St, Colombo, Sri Lanka",6.9424222,79.8637618,Partially cloudy,0.0,7.5,79.8,32.8,2022-05-08T05:55:11,2022-05-08T18:19:19,Partially Cloudy,Good
Borella Junction,2023-02-15,12:02,Minor Injury,Rear-end Collision,Mechanical Failure,3,Three Wheeler; Car; Bicycle,36-45,0,4,Moderate,"Borella Junction, Colombo, Sri Lanka","Borella Junction, Colombo, Sri Lanka","18 Dr NM Perera Mawatha Rd, Colombo 00800, Sri Lanka",6.9139525,79.878481,Partially cloudy,0.0,7.5,68.4,33.8,2023-02-15T06:27:44,2023-02-15T18:22:03,Partially Cloudy,Good
Union Place Borella,2023-08-03,16:43,Serious Injury,Rear-end Collision,Reckless Driving,1,Three Wheeler,26-35,0,3,High,"Union Place Borella, Colombo, Sri Lanka","Union Place Borella, Colombo, Sri Lanka","Colombo 08, Colombo, Sri Lanka",6.9147836,79.8775951,Partially cloudy,0.0,8.0,81.8,47.3,2023-08-03T06:04:36,2023-08-03T18:29:14,Partially Cloudy,Good
High Level Road Kirulapone,2025-02-28,17:37,Minor Injury,Rear-end Collision,Driver Fatigue,3,Three Wheeler; Motorcycle; Car,18-25,0,4,Moderate,"High Level Road Kirulapone, Colombo, Sri Lanka","High Level Road Kirulapone, Colombo, Sri Lanka","High Level Rd, Colombo, Sri Lanka",6.8775584,79.8793098,"Rain, Partially cloudy",0.011,8.6,81.9,35.6,2025-02-28T06:23:43,2025-02-28T18:22:50,Light Rain,Good
Armour Street Pettah,2025-11-07,10:23,Serious Injury,Side-impact Collision,Overspeeding,4,Car; Van; Motorcycle; Three Wheeler,26-35,0,5,High,"Armour Street Pettah, Colombo, Sri Lanka","Armour Street Pettah, Colombo, Sri Lanka","Armour St, Colombo, Sri Lanka",6.9424222,79.8637618,"Rain, Partially cloudy",0.068,6.8,77.9,39.3,2025-11-07T05:58:59,2025-11-07T17:49:40,Light Rain,Good
Liberty Plaza Area,2024-03-30,14:52,Serious Injury,Side-impact Collision,Reckless Driving,1,Motorcycle,46-55,0,4,Moderate,"Liberty Plaza Area, Colombo, Sri Lanka","Liberty Plaza Area, Colombo, Sri Lanka","300 Srimath Anagarika Dharmapala Mawatha, Colombo 00300, Sri Lanka",6.9118996,79.85130869999999,"Rain, Partially cloudy",0.076,14.7,77.6,32.5,2024-03-30T06:09:49,2024-03-30T18:20:25,Light Rain,Good
Hulftsdorp Junction,2024-12-18,14:03,Minor Injury,Side-impact Collision,Unsafe Lane Change,2,Car; Three Wheeler,36-45,0,2,Low,"Hulftsdorp Junction, Colombo, Sri Lanka","Hulftsdorp Junction, Colombo, Sri Lanka","Hultsdorf St, Colombo, Sri Lanka",6.9375553,79.8608161,Partially cloudy,0.001,6.9,83.5,64.9,2024-12-18T06:15:49,2024-12-18T17:59:04,Partially Cloudy,Good
High Level Road Kirulapone,2025-01-24,08:39,Minor Injury,Rear-end Collision,Distracted Driving,2,Motorcycle; Bus,18-25,0,3,Low,"High Level Road Kirulapone, Colombo, Sri Lanka","High Level Road Kirulapone, Colombo, Sri Lanka","High Level Rd, Colombo, Sri Lanka",6.8775584,79.8793098,Partially cloudy,0.0,5.9,84.4,35.8,2025-01-24T06:28:56,2025-01-24T18:16:46,Partially Cloudy,Moderate
Ibbanwala Junction,2022-07-04,15:38,Serious Injury,Motorcycle Collision,Unsafe Lane Change,2,Motorcycle; Bus,18-25,0,3,Moderate,"Ibbanwala Junction, Colombo, Sri Lanka","Ibbanwala Junction, Colombo, Sri Lanka","Ibbanwala, Colombo, Sri Lanka",6.917642,79.8597831,"Rain, Partially cloudy",0.039,8.1,75.0,27.4,2022-07-04T05:59:42,2022-07-04T18:30:28,Light Rain,Good
Borella Police Area,2025-06-24,17:55,Serious Injury,Single Vehicle Crash,Poor Visibility,1,Three Wheeler,36-45,0,2,Moderate,"Borella Police Area, Colombo, Sri Lanka","Borella Police Area, Colombo, Sri Lanka","Colombo 08, Colombo, Sri Lanka",6.9147836,79.8775951,Rain,0.026,7.1,76.2,18.1,2025-06-24T05:57:30,2025-06-24T18:28:54,Light Rain,Good
Kotahena Junction,2025-12-14,18:34,Minor Injury,Single Vehicle Crash,Driver Negligence,1,Bicycle,36-45,0,1,High,"Kotahena Junction, Colombo, Sri Lanka","Kotahena Junction, Colombo, Sri Lanka","Kotahena St, Colombo 01300, Sri Lanka",6.9494699,79.8626776,Partially cloudy,0.02,6.9,74.0,28.7,2025-12-14T06:13:40,2025-12-14T17:57:07,Partially Cloudy,Good
Slave Island Junction,2024-08-17,00:54,Serious Injury,Side-impact Collision,Driver Negligence,2,Motorcycle; Car,46-55,0,5,High,"Slave Island Junction, Colombo, Sri Lanka","Slave Island Junction, Colombo, Sri Lanka","Kompannavidiya Flyover, Colombo, Sri Lanka",6.9266493,79.8483123,Partially cloudy,0.0,5.4,85.4,79.2,2024-08-17T06:04:43,2024-08-17T18:24:42,Partially Cloudy,Moderate
Borella Junction,2025-03-03,17:47,Minor Injury,Motorcycle Collision,Reckless Driving,2,Motorcycle; Bicycle,18-25,0,2,Moderate,"Borella Junction, Colombo, Sri Lanka","Borella Junction, Colombo, Sri Lanka","18 Dr NM Perera Mawatha Rd, Colombo 00800, Sri Lanka",6.9139525,79.878481,"Rain, Partially cloudy",1.589,7.4,83.5,43.9,2025-03-03T06:22:33,2025-03-03T18:22:47,Light Rain,Good
Kynsey Road Colombo 08,2024-08-10,20:33,Serious Injury,Rear-end Collision,Poor Visibility,2,Bicycle; Three Wheeler,36-45,0,3,Moderate,"Kynsey Road Colombo 08, Colombo, Sri Lanka","Kynsey Road Colombo 08, Colombo, Sri Lanka","Kynsey Rd, Colombo, Sri Lanka",6.9138953,79.8749431,Partially cloudy,0.0,6.2,74.2,53.8,2024-08-10T06:04:52,2024-08-10T18:27:09,Partially Cloudy,Good
Bambalapitiya Junction,2023-10-23,22:30,Minor Injury,Rear-end Collision,Reckless Driving,1,Motorcycle,18-25,0,2,Low,"Bambalapitiya Junction, Colombo, Sri Lanka","Bambalapitiya Junction, Colombo, Sri Lanka","Bambalapitiya, Colombo 00500, Sri Lanka",6.8894192,79.8575468,"Rain, Partially cloudy",2.57,8.1,87.5,67.9,2023-10-23T05:57:10,2023-10-23T17:52:53,Light Rain,Good
Bauddhaloka Mawatha Cinnamon Gardens,2025-12-04,09:48,Fatal,Head-on Collision,Poor Visibility,4,Three Wheeler; Lorry; Motorcycle; Van,18-25,2,5,Low,"Bauddhaloka Mawatha Cinnamon Gardens, Colombo, Sri Lanka","Bauddhaloka Mawatha Cinnamon Gardens, Colombo, Sri Lanka","Bauddhaloka Mawatha, Colombo 00700, Sri Lanka",6.901932,79.8694402,"Rain, Partially cloudy",0.048,5.8,82.2,28.1,2025-12-04T06:08:41,2025-12-04T17:53:10,Light Rain,Moderate
"Junction of Sri Jayawardenepura Mawatha and Jayanthi Mawatha, Battaramulla",2024-10-23,08:48,Minor Injury,Pedestrian Collision,Driver Negligence,2,Motorcycle; Lorry,36-45,0,1,Low,"Junction of Sri Jayawardenepura Mawatha and Jayanthi Mawatha, Battaramulla, Colombo, Sri Lanka","Junction of Sri Jayawardenepura Mawatha and Jayanthi Mawatha, Battaramulla, Colombo, Sri Lanka","Jayanthi Mawatha & Sri Jayawardenepura Mawatha, Sri Jayawardenepura Kotte, Sri Lanka",6.9060652,79.904172,"Rain, Partially cloudy",0.036,7.1,91.9,69.6,2024-10-23T05:57:12,2024-10-23T17:52:39,Light Rain,Good
Armour Street Junction,2023-09-22,06:57,Fatal,Multi-vehicle Collision,Pedestrian Negligence,4,Van; Motorcycle; Three Wheeler; Bicycle,36-45,1,7,High,"Armour Street Junction, Colombo, Sri Lanka","Armour Street Junction, Colombo, Sri Lanka","Armour St, Colombo, Sri Lanka",6.9424222,79.8637618,"Rain, Partially cloudy",2.439,8.8,87.9,74.7,2023-09-22T06:00:02,2023-09-22T18:07:07,Light Rain,Good
Dutugemunu Street Colombo 06,2023-06-25,16:25,Minor Injury,Motorcycle Collision,Distracted Driving,2,Motorcycle; Bicycle,26-35,0,2,Moderate,"Dutugemunu Street Colombo 06, Colombo, Sri Lanka","Dutugemunu Street Colombo 06, Colombo, Sri Lanka","Dutugemunu St, Colombo, Sri Lanka",6.8713991,79.8760649,"Rain, Partially cloudy",0.099,7.7,82.1,72.2,2023-06-25T05:57:35,2023-06-25T18:28:58,Light Rain,Good
